drone_num,step_count,total_count,cars_length,carNum0,carNum1,carNum2,bunsan,shelters[0].battery,shelters[1].battery,shelters[2].battery,shelters[0].predict_battery,shelters[1].predict_battery,shelters[2].predict_battery,s0,s1,s2,max-min,SUMshelterbattery,date,
0,942,27358,60,20,3,37,5058044287854.9,304,45,534,313,46,551,534.264,303.615,44.581,490,882,1231,
1,1099,27643,60,20,5,35,4171174717172.8,304,74,504,313,46,551,504.405,303.615,74.05,430,882,1231,
2,1085,28440,60,19,11,30,1764516790361.1,288,159,434,313,46,551,434.121,288.396,158.567,276,881,1231,
3,1077,28587,60,19,14,27,799525926139.69,288,206,387,313,46,551,386.713,288.396,205.698,181,881,1231,
4,1086,28906,60,19,18,23,71967069979.107,288,272,320,313,46,551,320.372,288.396,271.595,49,880,1231,
5,1099,28575,60,19,17,24,186474424872.03,288,256,336,313,46,551,336.367,288.396,256.044,80,881,1231,
6,942,28896,60,19,19,22,16733935072.434,288,289,303,313,46,551,302.61,288.396,289.353,13,880,1231,
6,1099,28208,60,20,13,27,701675864935.6,304,205,372,313,46,551,372.321,303.615,205.346,167,881,1231,
6,1099,28208,60,20,13,27,701675864935.6,304,205,372,313,46,551,372.321,303.615,205.346,167,881,1231,
6,1099,28208,60,20,13,27,701675864935.6,304,205,372,313,46,551,372.321,303.615,205.346,167,881,1231,
6,942,28896,60,19,19,22,16733935072.434,288,289,303,313,46,551,302.61,288.396,289.353,13,880,1231,
6,942,28896,60,19,19,22,16733935072.434,288,289,303,313,46,551,302.61,288.396,289.353,13,880,1231,
6,942,28896,60,19,19,22,16733935072.434,288,289,303,313,46,551,302.61,288.396,289.353,13,880,1231,
6,942,27715,60,20,10,30,1206735453908.8,304,170,409,313,46,551,408.704,303.615,169.523,239,882,1231,
6,942,28896,60,19,19,22,16733935072.434,288,289,303,313,46,551,302.61,288.396,289.353,13,880,1231,
6,942,28979,60,19,23,18,160058361227.27,285,338,257,313,46,551,256.762,285.267,338.423,-82,880,1231,
6,942,28979,60,19,23,18,160058361227.27,285,338,257,313,46,551,256.762,285.267,338.423,-82,880,1231,
6,942,28979,60,19,23,18,160058361227.27,285,338,257,313,46,551,256.762,285.267,338.423,-82,880,1231,
6,1001,28034,60,19,22,19,105340798785.49,290,329,262,313,46,551,261.678,290.297,328.904,-67,881,1231,
5,1001,28146,60,18,23,19,173793186434.75,278,341,262,313,46,551,261.718,277.632,341.328,-80,881,1231,
4,942,28690,60,18,21,21,69357909389.847,271,298,312,313,46,551,311.782,270.634,298.039,14,880,1231,
4,942,28690,60,18,21,21,69357909389.847,271,298,312,313,46,551,311.782,270.634,298.039,14,880,1231,
4,942,28690,60,18,21,21,69357909389.847,271,298,312,313,46,551,311.782,270.634,298.039,14,880,1231,
2,942,27776,60,19,11,30,1658187395055.5,289,157,436,313,46,551,436.018,288.983,156.726,279,882,1231,
2,1085,28875,60,19,18,23,243028001085.3,289,247,345,313,46,551,344.577,288.983,246.802,98,880,1231,
2,1016,28469,60,19,16,25,522195312295.92,289,224,368,313,46,551,368.258,288.983,223.595,145,881,1231,
